,localName,type,latitude,longitude,webUrl,phone,text_for_embedding
0,Bistro Bis,RESTAURANT,38.896236,-77.00987,https://www.tripadvisor.com/Restaurant_Review-g28970-d485032-Reviews-Bistro_Bis-Washington_DC_District_of_Columbia.html,+1 202-661-2700,Bistro Bis RESTAURANT
1,Bobby Van's Steakhouse,RESTAURANT,38.90066,-77.03327,https://www.tripadvisor.com/Restaurant_Review-g28970-d450410-Reviews-Bobby_Van_s_Steakhouse-Washington_DC_District_of_Columbia.html,+1 202-589-0060,Bobby Van's Steakhouse RESTAURANT
2,Jefferson Memorial,ATTRACTION,38.881393,-77.03647,https://www.tripadvisor.com/Attraction_Review-g28970-d103436-Reviews-Jefferson_Memorial-Washington_DC_District_of_Columbia.html,+1 202-426-6841,Jefferson Memorial ATTRACTION
3,Smithsonian’s National Zoo & Conservation Biology Institute,ATTRACTION,38.93062,-77.05443,https://www.tripadvisor.com/Attraction_Review-g28970-d109242-Reviews-Smithsonian_s_National_Zoo_Conservation_Biology_Institute-Washington_DC_District_of.html,+1 202-633-2614,Smithsonian’s National Zoo & Conservation Biology Institute ATTRACTION
4,National World War II Memorial,ATTRACTION,38.889404,-77.04053,https://www.tripadvisor.com/Attraction_Review-g28970-d497518-Reviews-National_World_War_II_Memorial-Washington_DC_District_of_Columbia.html,+1 202-426-6841,National World War II Memorial ATTRACTION
5,Washington National Cathedral,ATTRACTION,38.930595,-77.07078,https://www.tripadvisor.com/Attraction_Review-g28970-d143751-Reviews-Washington_National_Cathedral-Washington_DC_District_of_Columbia.html,+1 202-537-6200,Washington National Cathedral ATTRACTION
6,Georgetown,ATTRACTION,38.909702,-77.06536,https://www.tripadvisor.com/Attraction_Review-g28970-d143709-Reviews-Georgetown-Washington_DC_District_of_Columbia.html,+1 12345678,Georgetown ATTRACTION
7,Korean War Veterans Memorial,ATTRACTION,38.88778,-77.04766,https://www.tripadvisor.com/Attraction_Review-g28970-d108434-Reviews-Korean_War_Veterans_Memorial-Washington_DC_District_of_Columbia.html,+1 202-426-6841,Korean War Veterans Memorial ATTRACTION
8,National Museum of American History,ATTRACTION,38.891228,-77.03002,https://www.tripadvisor.com/Attraction_Review-g28970-d103446-Reviews-National_Museum_of_American_History-Washington_DC_District_of_Columbia.html,+1 202-633-1000,National Museum of American History ATTRACTION
9,"Hillwood Estate, Museum & Gardens",ATTRACTION,38.943626,-77.052635,https://www.tripadvisor.com/Attraction_Review-g28970-d266635-Reviews-Hillwood_Estate_Museum_Gardens-Washington_DC_District_of_Columbia.html,+1 202-686-5807,"Hillwood Estate, Museum & Gardens ATTRACTION"
